gemeentCode;gemeenteNaam;veiligheidsRegioCode;veiligheidsRegioNaam;provincieCode;Provincie;Land;;;
GM1979;Eemsdelta;VR01;Groningen                                         ;PV20;Groningen;NL;;;
GM1979;Eemsdelta;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0014;Groningen (gemeente);VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0014;Groningen (gemeente);VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1966;Het Hogeland;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1966;Het Hogeland;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1952;Midden-Groningen;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1952;Midden-Groningen;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1895;Oldambt;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1895;Oldambt;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0765;Pekela;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0765;Pekela;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0037;Stadskanaal;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0037;Stadskanaal;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0047;Veendam;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0047;Veendam;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1969;Westerkwartier;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1969;Westerkwartier;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1950;Westerwolde;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM1950;Westerwolde;VR01;Groningen                                         ;PV20;Groningen ;NL;;;
GM0059;Achtkarspelen;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0059;Achtkarspelen;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0060;Ameland;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1891;Dantumadiel;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1891;Dantumadiel;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1940;De Fryske Marren;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1940;De Fryske Marren;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0072;Harlingen;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0072;Harlingen;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0074;Heerenveen;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0074;Heerenveen;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0080;Leeuwarden;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0080;Leeuwarden;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1970;Noardeast-Fryslân;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1970;Noardeast-Fryslân;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0085;Ooststellingwerf;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0085;Ooststellingwerf;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0086;Opsterland;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0086;Opsterland;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0088;Schiermonnikoog;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0090;Smallingerland;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0090;Smallingerland;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1900;Súdwest-Fryslân;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1900;Súdwest-Fryslân;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0093;Terschelling;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0737;Tytsjerksteradiel;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0737;Tytsjerksteradiel;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0096;Vlieland;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1949;Waadhoeke;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1949;Waadhoeke;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0098;Weststellingwerf;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM0098;Weststellingwerf;VR02;Fryslân                                           ;PV21;Friesland;NL;;;
GM1680;Aa en Hunze;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1680;Aa en Hunze;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0106;Assen;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0106;Assen;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1681;Borger-Odoorn;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1681;Borger-Odoorn;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0109;Coevorden;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0109;Coevorden;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1690;De Wolden;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1690;De Wolden;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0114;Emmen;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0114;Emmen;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0118;Hoogeveen;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0118;Hoogeveen;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0119;Meppel;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0119;Meppel;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1731;Midden-Drenthe;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1731;Midden-Drenthe;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1699;Noordenveld;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1699;Noordenveld;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1730;Tynaarlo;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1730;Tynaarlo;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1701;Westerveld;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM1701;Westerveld;VR03;Drenthe                                           ;PV22;Drenthe;NL;;;
GM0141;Almelo;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0141;Almelo;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0147;Borne;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0147;Borne;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0148;Dalfsen;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0148;Dalfsen;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0150;Deventer;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0150;Deventer;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM1774;Dinkelland;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1774;Dinkelland;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0153;Enschede;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0153;Enschede;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0158;Haaksbergen;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0158;Haaksbergen;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0160;Hardenberg;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0160;Hardenberg;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0163;Hellendoorn;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0163;Hellendoorn;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0164;Hengelo (O.);VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0164;Hengelo (O.);VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1735;Hof van Twente;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1735;Hof van Twente;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0166;Kampen;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0166;Kampen;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0168;Losser;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0168;Losser;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0173;Oldenzaal;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0173;Oldenzaal;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1773;Olst-Wijhe;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM1773;Olst-Wijhe;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0175;Ommen;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0175;Ommen;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0177;Raalte;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0177;Raalte;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM1742;Rijssen-Holten;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1742;Rijssen-Holten;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0180;Staphorst;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0180;Staphorst;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM1708;Steenwijkerland;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM1708;Steenwijkerland;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0183;Tubbergen;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0183;Tubbergen;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1700;Twenterand;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1700;Twenterand;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0189;Wierden;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM0189;Wierden;VR05;Twente                                            ;PV23;Overijssel;NL;;;
GM1896;Zwartewaterland;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM1896;Zwartewaterland;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0193;Zwolle;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0193;Zwolle;VR04;IJsselland                                        ;PV23;Overijssel;NL;;;
GM0034;Almere;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0034;Almere;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0303;Dronten;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0303;Dronten;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0995;Lelystad;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0995;Lelystad;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0171;Noordoostpolder;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0171;Noordoostpolder;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0184;Urk;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0184;Urk;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0050;Zeewolde;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0050;Zeewolde;VR25;Flevoland                                         ;PV24;Flevoland;NL;;;
GM0197;Aalten;VR06;Noord- en Oost-Gelderland                         ;PV25;Gelderland;NL;;;
GM0197;Aalten;VR06;Noord- en Oost-Gelderland                         ;PV25;Gelderland;NL;;;
GM0200;Apeldoorn;VR06;Noord- en Oost-Gelderland                         ;PV25;Gelderland;NL;;;
GM0200;Apeldoorn;VR06;Noord- en Oost-Gelderland                         ;PV25;Gelderland;NL;;;
GM0202;Arnhem;VR07;Gelderland-Midden                                 ;PV25;Gelderland;NL;;;
